rank,name,score,max_beta_to_spy_126day,min_beta_to_spy_126day,max_cumulative_common_returns,min_cumulative_common_returns,max_cumulative_specific_returns,min_cumulative_specific_returns,max_exposure_basic_materials,min_exposure_basic_materials,max_exposure_communication_services,min_exposure_communication_services,max_exposure_consumer_cyclical,min_exposure_consumer_cyclical,max_exposure_consumer_defensive,min_exposure_consumer_defensive,max_exposure_energy,min_exposure_energy,max_exposure_financial_services,min_exposure_financial_services,max_exposure_health_care,min_exposure_health_care,max_exposure_industrials,min_exposure_industrials,max_exposure_momentum,min_exposure_momentum,max_exposure_real_estate,min_exposure_real_estate,max_exposure_short_term_reversal,min_exposure_short_term_reversal,max_exposure_size,min_exposure_size,max_exposure_technology,min_exposure_technology,max_exposure_utilities,min_exposure_utilities,max_exposure_value,min_exposure_value,max_exposure_volatility,min_exposure_volatility,max_leverage,min_leverage,max_max_drawdown,min_max_drawdown,max_max_position_concentration,min_max_position_concentration,max_net_dollar_exposure,min_net_dollar_exposure,max_sharpe_126day,min_sharpe_126day,max_total_returns,min_total_returns,max_traded_in_qtradable_stocks_us,min_traded_in_qtradable_stocks_us,max_turnover,min_turnover,max_volatility_126day,min_volatility_126day
1,Blue Robin,1.1418526894923815,0.18557611191249163,-0.02165253328749054,0.06995402375004023,-0.012575764648592225,0.11396823522246069,-0.01027113269509139,0.013507128377957492,-0.09025491254112246,0.014424918735513832,-0.022439492104816588,0.0629509109933579,-0.08066358306646451,0.012816624538759576,-0.03256241123522227,0.057249395208381286,-0.1866407105772827,0.08149587864989223,-0.06147783346861809,0.18430518393549047,-0.10508078597794061,0.052592503996856645,-0.07369492623421905,0.39405845802860934,0.012976607801069207,0.06470819445339883,-0.05759809106838527,0.48609301469074323,0.05496720546516084,0.20093719276258004,-0.3696911457164536,0.1817607288960715,-0.03468568169682666,0.009376454051719618,-0.026405860878430717,-0.023232610808917187,-0.37753176923509424,0.30257575857866226,-0.34956488609068803,1.0309350815135585,0.9639725159118733,-0.00022739705166003433,-0.03170531687984069,0.0036821319405474203,0.0025492357040085988,0.007467293335622744,-0.006475483998082093,5.124236403670613,-0.32484986875323174,0.19092555853408566,-0.02234580552244214,1.0000000000000018,0.992626873800074,0.9988670114859136,0.09117330968049517,0.04923768251710142,0.0324252300293463
2,Mauve Chimpanzee,1.1394061536150397,0.16482996432125963,-0.027439055887829453,0.03450447919621835,-0.017308324871601055,0.09934881437510468,-0.026570245388022773,0.09046976808384767,-0.08917066411152999,0.0317493651514414,-0.045330193383733654,0.11272070376622234,-0.15206137404757844,0.03176243484954723,-0.04134301163985889,0.1847510510517455,-0.1855730668657964,0.16933160094855085,-0.17731691169347577,0.1888635868504246,-0.182062091829774,0.11738708726369293,-0.17970837232443915,0.3926364248390505,-0.23924205268415186,0.17088101101771536,-0.09894264841556466,0.6416495789514347,0.09785321781220682,0.3519446300061981,-0.21902859261814014,0.15631819945015396,-0.18488586957882985,0.08265378264343055,-0.07478958175587946,0.4092161074811442,-0.39985749962698863,0.38612420034676936,-0.4087687941425341,0.9408366120397296,0.0,0.0,-0.033450645360148315,0.01630325761579539,0.0,0.04276724608235094,-0.038505169905470996,3.4543758125350803,-0.9683959664342005,0.1297409607967519,-0.0334506453601483,1.0000000000000007,0.9681766533246251,1.605265882073339,0.0,0.05169196961291871,0.04181382218526761
3,Bright Yellow Ant,1.056900082378074,0.2669398505871052,-0.24696159161235864,0.02741283984343501,-0.06034536514783295,0.26772894338043507,-0.00024008992133706109,0.04423988372699896,-0.20407020415310267,0.03744991948169241,-0.08499661248789345,0.1905202294536647,-0.018647814716378656,0.0758419498564997,-0.07438061640879527,0.0,-0.21046671515274723,0.09082617793896562,-0.16858460945804726,0.19656585237726532,0.028197745823682854,0.027709720214002406,-0.18103006523880738,0.5448651737327387,0.04359948317224369,0.0,-0.051182843191601234,0.4550060894950432,-0.6174263130734325,0.4724344166527554,0.24766541507806292,0.15905129839929352,-0.09391724797322326,0.0,0.0,-0.25952761044232553,-0.5814353721739371,-0.06789616269747187,-0.47439253067159126,0.9716292293951773,0.0,0.0,-0.08346371829977091,0.05453029582535503,0.0,0.09687308007629536,-0.04691516187379806,3.9297552278368473,-1.264808594573206,0.28601216867889856,-0.02287224047287295,1.0000000000000004,0.9514293412250595,0.826794843158652,0.0,0.10473780270855874,0.07290145084150146
4,Blue-Green Panda,1.0476758106020407,0.034074624658730436,-0.13276903743984822,0.004964108468237027,-0.011170130467008543,0.03590977938049367,-0.0052046005819157415,0.03372916004576184,-0.02078374516957767,0.001772112425219678,-0.002679472907645602,0.019793308933399836,-0.02955602534892243,0.007024343147511786,-0.0200585568613613,0.035448582431742856,-0.028787777394817967,0.013523517600889231,-0.037092439053216665,0.039255037435610964,-0.007620612359299387,0.017191670832357873,-0.040087041611657805,0.12272688074984651,-0.13966459258542183,0.041820628577218244,-0.002759013129547673,0.16043583637615585,-0.2886557243807769,0.31654013464426123,0.05327698114964563,0.022609223432354497,-0.03165908441973938,0.0063126213761298886,-0.009304218767994605,0.12996076508770812,-0.11326850605275468,0.11091199458562284,-0.18026353197792971,1.0339267102290364,0.9646394954608246,-0.000913357745288721,-0.023609665253258656,0.005266005994882186,0.0020582203182186965,0.006695640938909769,-0.007323448310566024,3.0221105438908507,-2.29009384322299,0.033194929970015385,-0.00588301268383673,1.0000000000000016,0.9927905885468129,1.0012844733620312,0.04953109717419238,0.022662439396051226,0.016815925203987385
5,Red Rabbit,1.0468643324726203,0.029506649477540354,-0.24025539874850263,0.01579701249294696,-0.016813535506571498,0.228132527295553,-0.03508547706799059,0.03224196151734763,-0.01803589432307921,0.025593165289278734,-0.02342246911924021,0.03373585902707093,-0.01973268242328215,0.01497133619467915,0.0,0.16662428459797937,-0.043304792517824424,0.042857598101447694,-0.009803957868428689,-0.15552154857169934,-0.20889118392841818,0.05168179314966363,-0.02883941630558143,0.17612084375920806,-0.39306843464541424,0.07569668994033478,-0.011009750264927242,0.36320292394862036,-0.41421213037168636,0.38700269811574317,-0.21049488005202566,0.04040323478558609,-0.04368500725703591,0.019983732970409084,-0.016289939071647816,0.5218433081704678,-0.21674125631527236,-0.13296408337357093,-0.6529079314817494,1.0563840400942384,0.9313869039318825,-0.004434509482736218,-0.054850808389099365,0.025827549331364576,0.01494375132297509,0.012951787989785342,-0.02448314087370429,3.010588392121795,-1.1238503582105759,0.21656417419440288,-0.03735488709393997,1.0000000000000007,0.9780201889705107,0.9503451649029389,0.013301025553046185,0.08456724267927236,0.06682382194092766
6,Brown Sea Lion,1.0330355356790681,0.13222255350697384,-0.2531433873070439,0.054410414292761056,-0.06637772563593958,0.3225961648481246,-0.05599961270326925,0.0016016488340318859,-0.139758183587547,0.013340465945911349,-0.146822130184045,0.15391271622408542,-0.0262841014489546,0.056521039472463216,-0.07371717700579591,0.05905402549977451,-0.2257915648559244,0.12886344938424574,-0.009208979611325004,0.19380728356709323,-0.028278561710478493,0.07811616688133806,-0.06377452753039539,0.37123225523460174,-0.12035706742357297,0.05108651566773527,-0.028993878661005768,0.4051865874345818,-0.4062941306087568,0.48194122972269743,0.2632994329320798,0.1620546697025797,-0.05931979458095287,0.0,-0.011829714570181758,-0.24654506434693474,-0.5049706050505691,-0.18955852127799622,-0.6129384217996884,1.077569137099134,0.0,0.0,-0.08763720532581754,0.05729003951683813,0.0,0.05056419545794085,-0.03994939824121451,3.539987309547577,-1.7624896666190246,0.3931531188430595,-0.08293314437072763,1.0000000000000004,0.9231900659559694,0.9660870600427969,0.0,0.12134167688715168,0.07395180614612078
7,Cream Beetle,1.017362878803197,0.17309495833895405,-0.13672748436172663,0.04639377595536209,-0.009187681499087552,0.23856496942093597,-0.008364915097557213,0.13759100594753085,-0.15961604480991898,0.04964207439629085,-0.0682187107774249,0.13550470446728563,-0.1761571356651687,0.06314076996029026,-0.05356685997711402,0.19822201234272546,-0.19830321089964925,0.10438289095537884,-0.15161958315688945,0.2195313930531714,-0.17370594648193088,0.09727180974027103,-0.19690658498629393,0.4155354053197053,-0.5932119370480171,0.04965653118055206,-0.041632478632292455,0.7111667334544827,-0.5420777494354821,0.4360203291071037,-0.45896175149034624,0.19508735487696377,-0.20979310523713005,0.021421867469390034,-0.032778731199402125,0.5147770813886681,-0.43043926329945537,0.6257771764036547,-0.44430013376031363,1.095927806635482,0.0,0.0,-0.09590553276517748,0.03846534203365137,0.0,0.053175565947441376,-0.027439165122068135,2.8446412916993045,-2.1777782455902983,0.2723088851010891,-0.007668583148353503,1.0000000000000004,0.9306941849418822,1.932274531876866,0.0,0.09897133587900135,0.06909394523394317
8,Emerald Deer,1.014444802832251,0.19732943969360658,-0.302140262327656,0.05383106314002184,-0.019964414998289493,0.33627211173253313,-0.014328736890367955,0.02909835823409797,-0.11104102912786121,0.01917265753157609,-0.11786745671749746,0.13204208527591854,0.02663918298282454,0.029994630948316246,-0.08767906699037398,0.0,-0.18300574434231315,0.1366609610669925,-0.034961097302930816,0.13470026252343348,0.002573673594042987,0.0,-0.040848375246859484,0.32258820077513306,-0.27982316114302414,0.00966978363923858,-0.15610952877179432,0.45946618890526414,-0.5557513974426128,0.4153527339321731,0.3205521868716497,0.0389034098376332,-0.1468305562530497,0.0,-0.048610658479081664,-0.2387085436703611,-0.4119953604941325,-0.2591010490751176,-0.6509319243959524,1.0449023595267724,0.651498785294981,-0.0006154020606490463,-0.061952903721761814,0.052277283881450545,0.044669544373820605,0.037065767634102145,-0.034657154338293826,4.417322144368108,-1.1454052995570683,0.3997744141170232,-0.016102778069407298,1.0000000000000004,0.9896778173429677,0.6509687215811294,0.00957048006020581,0.09639465101750261,0.05511899002664972
9,Dark Red Robin,1.0027184313194948,0.17068445079457376,-0.2151443205527088,0.020916871977040064,-0.00831846404680392,0.1645308733812898,-0.03165223830982855,0.1039925409776142,-0.11012618986320617,0.08772297368244691,-0.10311435630459825,0.14425050584450586,-0.16857104446887514,0.090354090191883,-0.09044699293426867,0.18745646106487057,-0.17407455951646217,0.15533493633932638,-0.11548413247447695,0.11570105285147082,-0.15654056960352936,0.13177645742143412,-0.09603073908155407,0.1387913602168228,-0.27590233619441795,0.09055338822315738,-0.028549032895215938,0.620642261096367,-0.38884121389958726,0.007973290406168291,-0.46796099661873414,0.06795303166196008,-0.09044491415078,0.061147347780914685,-0.03116674767358195,0.40592252826927305,-0.39846299135032454,0.13623151254261995,-0.4120809495122148,1.0589557490385713,0.6091783231035599,0.0,-0.09877851171922226,0.05124343950267714,0.029541456746795317,0.033955625720416105,-0.045832389603453205,2.724824755251227,-2.344283937030923,0.17351095375282455,-0.01979706110374002,1.0000000000000004,0.9707837916772822,0.6264276556496214,0.5685906146982913,0.11189705887005141,0.06999388281517485
10,Desert Sand Chimpanzee,0.9652688445345029,0.2959491874309262,0.0,0.07019482131755983,-0.009668817222333592,0.09974170151472905,-0.05361387778398552,0.03743573050791735,-0.012679417744338384,0.05136029818239958,-0.01595055936592243,0.14134228802152685,-0.011445785919388675,0.05054163088888192,-0.017926718165773604,0.11415387544830378,-0.18626155132804698,0.0,-0.09560544367856035,0.23950519772719517,-0.08327143409786344,0.057091265683489836,-0.1361724366327125,0.3803897139454293,-0.41550756585401266,-0.025663656474049376,-0.18305762628106714,0.6063671216777727,-0.5015854228484082,-0.07738549439824252,-0.43862626425173407,0.192802803148768,0.08963979503232711,0.022735238977577222,-0.028344173355629925,-0.3092822202299338,-0.5250053119795913,0.5325262391494923,-0.0197429248795656,1.0798668771895585,1.0112901708118816,-0.005018340801923387,-0.09719885585887816,0.02756637731406945,0.02116100783314772,0.032498487896019224,-0.018691715407299407,3.059249650219252,-2.3651551010758745,0.1530878882276332,-0.06118632786825906,1.0000000000000007,0.9801897275666733,1.050866685698876,0.018365808016476724,0.10600734828114705,0.07096507323244565
